,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
0,Airai,-8.9266,125.4092,72.41,39,48,1.97,TL,1619490043
1,Ucluelet,48.9329,-125.5528,54.0,71,40,6.91,CA,1619490044
2,Qaqortoq,60.7167,-46.0333,35.6,93,75,5.75,GL,1619489961
3,Rikitea,-23.1203,-134.9692,78.13,72,100,6.98,PF,1619490044
4,Puerto Ayora,-0.7393,-90.3518,75.0,90,37,4.97,EC,1619490018
5,Kununurra,-15.7667,128.7333,87.8,48,90,12.66,AU,1619490045
6,Cape Town,-33.9258,18.4232,63.0,94,90,3.44,ZA,1619489889
7,Longyearbyen,78.2186,15.6401,19.4,63,40,16.11,SJ,1619489969
8,Bluff,-46.6,168.3333,48.99,65,85,8.99,NZ,1619489900
9,Frutal,-20.0247,-48.9406,68.47,52,95,5.01,BR,1619490046
10,Hobart,-42.8794,147.3294,64.99,48,20,8.05,AU,1619490046
11,Busselton,-33.65,115.3333,73.99,78,50,1.01,AU,1619490047
12,Pecos,31.4229,-103.4932,82.99,9,1,8.05,US,1619490047
13,Clyde River,70.4692,-68.5914,24.8,100,90,2.3,CA,1619489904
14,Mahébourg,-20.4081,57.7,77.0,88,75,8.05,MU,1619490048
15,Nanortalik,60.1432,-45.2371,34.12,93,80,10.04,GL,1619489815
16,‘Ewa Beach,21.3156,-158.0072,80.6,57,90,11.5,US,1619489778
17,Richards Bay,-28.783,32.0377,65.17,92,99,6.2,ZA,1619490022
18,Vaini,-21.2,-175.2,75.2,94,90,5.75,TO,1619489894
19,Saint Paul Harbor,57.79,-152.4072,42.8,87,90,17.27,US,1619490048
20,Butaritari,3.0707,172.7902,82.6,76,76,10.85,KI,1619489892
21,Yellowknife,62.456,-114.3525,8.6,52,20,14.97,CA,1619490049
22,Juneau,58.3019,-134.4197,60.8,27,75,8.05,US,1619489900
23,Porto-Novo,6.4965,2.6036,84.2,84,40,11.5,BJ,1619490049
24,Khatanga,71.9667,102.5,23.34,91,100,18.14,RU,1619490050
25,Ushuaia,-54.8,-68.3,42.8,81,75,2.3,AR,1619489896
26,Carnarvon,-24.8667,113.6333,78.8,47,0,3.44,AU,1619489895
27,Saint George,37.1041,-113.5841,55.99,54,1,11.5,US,1619490050
28,Shimoda,34.6667,138.95,62.6,59,20,4.61,JP,1619490051
29,Alta Floresta,-9.8756,-56.0861,73.4,100,0,2.3,BR,1619490051
30,Barrow,71.2906,-156.7887,21.2,68,1,17.27,US,1619490002
31,Mataura,-46.1927,168.8643,48.99,66,82,7.0,NZ,1619490052
32,Katangli,51.7102,143.2326,34.66,72,20,10.87,RU,1619490052
33,Nioro,13.35,-15.75,76.6,39,45,7.72,GM,1619489927
34,George Town,5.4112,100.3354,80.6,83,20,3.44,MY,1619489920
35,Rafaela,-31.2503,-61.4867,57.99,54,0,3.49,AR,1619490013
36,Qaanaaq,77.484,-69.3632,35.6,69,100,7.31,GL,1619489834
37,Karratha,-20.7377,116.8463,85.51,18,0,14.94,AU,1619490053
38,Avera,33.194,-82.5271,64.4,72,1,5.3,US,1619490054
39,San Jose,37.3394,-121.895,57.99,47,75,16.11,US,1619489833
40,Tasiilaq,65.6145,-37.6368,41.0,60,40,7.74,GL,1619489918
41,Kapaa,22.0752,-159.319,77.0,65,20,8.05,US,1619489788
42,Sabancuy,18.9667,-91.1833,81.97,77,0,12.35,MX,1619490054
43,Port Alfred,-33.5906,26.891,66.85,86,94,16.6,ZA,1619490012
44,Lata,40.1629,-8.3327,59.0,89,64,1.41,PT,1619489962
45,Praia da Vitória,38.7333,-27.0667,60.8,77,75,7.2,PT,1619490055
46,Moreira Sales,-24.0622,-53.0069,56.95,68,0,4.5,BR,1619490055
47,Atuona,-9.8,-139.0333,79.83,75,91,15.23,PF,1619489901
48,Sabha,27.0377,14.4283,78.67,16,98,14.43,LY,1619490056
49,São Filipe,14.8961,-24.4956,72.18,75,98,8.95,CV,1619490056
50,Hithadhoo,-0.6,73.0833,82.47,61,4,2.95,MV,1619490057
51,Port Elizabeth,-33.918,25.5701,62.6,88,20,21.85,ZA,1619489801
52,Albany,42.6001,-73.9662,45.0,48,9,1.99,US,1619489857
53,Kafanchan,9.5833,8.3,71.51,77,58,3.56,NG,1619490057
54,Thompson,55.7435,-97.8558,44.6,57,75,9.22,CA,1619490058
55,Pemangkat,1.1667,108.9667,82.85,74,15,2.8,ID,1619490058
56,Gamba,-2.65,10.0,77.41,90,99,4.99,GA,1619489890
57,Marrakesh,31.6315,-8.0083,60.8,72,75,5.75,MA,1619490059
58,Ostrovnoy,68.0531,39.5131,29.12,70,100,13.06,RU,1619490059
59,Skovby,56.1534,9.957,34.0,80,2,1.01,DK,1619490059
60,Laas,46.6166,10.7002,52.0,75,100,2.46,IT,1619490060
61,Husavik,66.0449,-17.3389,26.6,93,0,5.75,IS,1619490060
62,Yeppoon,-23.1333,150.7333,80.6,36,3,12.66,AU,1619490061
63,Ponta Delgada,37.7333,-25.6667,59.0,82,75,9.22,PT,1619489835
64,Alice Springs,-23.7,133.8833,73.99,25,0,14.97,AU,1619489767
65,Bud,39.447,-86.1758,69.8,37,75,13.8,US,1619490061
66,Punta Arenas,-53.15,-70.9167,42.8,100,90,3.44,CL,1619489990
67,Pangnirtung,66.1451,-65.7125,34.03,97,100,3.47,CA,1619490062
68,Tuktoyaktuk,69.4541,-133.0374,12.2,73,1,16.11,CA,1619490062
69,Bethel,41.3712,-73.414,50.0,32,1,4.41,US,1619489884
70,Haines Junction,60.7522,-137.5108,51.8,25,11,9.22,CA,1619490063
71,Amahai,-3.3333,128.9167,84.45,61,3,3.33,ID,1619490063
72,Necochea,-38.5473,-58.7368,53.31,81,0,7.54,AR,1619490064
73,Mamakan,57.8161,114.0028,28.45,61,100,10.38,RU,1619490064
74,Gigmoto,13.7796,124.39,78.93,79,100,10.29,PH,1619490065
75,Souillac,-20.5167,57.5167,77.0,88,75,8.05,MU,1619490065
76,Avarua,-21.2078,-159.775,82.4,69,75,3.44,CK,1619489812
77,Chokurdakh,70.6333,147.9167,26.71,83,97,2.28,RU,1619489901
